time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,26.4,24.2,29.4,,,,,,,
2015-01-02,26.4,,29.8,,,,,,,
2015-01-03,26.0,,29.8,,,,,,,
2015-01-04,25.8,23.7,28.6,,,,,,,
2015-01-05,28.0,24.0,,,,,,,,
2015-01-06,28.0,25.2,32.0,,,,,,,
2015-01-07,28.4,25.8,,,,,,,,
2015-01-08,28.5,25.0,32.0,,,,,,,
2015-01-09,29.2,26.4,33.4,,,,,,,
2015-01-10,28.9,26.0,33.2,,,,,,,
2015-01-11,28.9,25.0,31.6,,,,,,,
2015-01-12,25.5,,29.4,39.9,,,,,,
2015-01-13,25.8,24.2,29.0,,,,,,,
2015-01-14,27.0,25.0,30.0,,,,,,,
2015-01-15,27.8,24.8,,,,,,,,
2015-01-16,27.2,24.6,30.2,,,,,,,
2015-01-17,27.3,25.0,29.4,,,,,,,
2015-01-18,27.9,25.2,30.0,,,,,,,
2015-01-19,25.2,,28.0,,,,,,,
2015-01-20,25.1,,30.2,,,,,,,
2015-01-21,26.9,23.0,29.4,,,,,,,
2015-01-22,25.4,,27.7,,,,,,,
2015-01-23,25.2,23.2,27.4,,,,,,,
2015-01-24,26.1,,29.8,,,,,,,
2015-01-25,26.6,25.0,,,,,,,,
2015-01-26,27.1,24.8,28.6,,,,,,,
2015-01-27,26.9,24.2,,,,,,,,
2015-01-28,27.8,24.4,30.4,,,,,,,
2015-01-29,28.2,25.2,,,,,,,,
2015-01-30,28.2,25.8,31.6,,,,,,,
2015-01-31,27.1,,,,,,,,,
2015-02-01,24.2,,26.4,,,,,,,
2015-02-02,27.3,23.4,29.4,,,,,,,
2015-02-03,27.3,24.4,29.2,,,,,,,
2015-02-04,27.3,25.4,29.4,,,,,,,
2015-02-05,27.3,,30.2,,,,,,,
2015-02-06,26.6,24.6,,,,,,,,
2015-02-07,26.8,,29.6,,,,,,,
2015-02-08,25.8,,28.4,,,,,,,
2015-02-09,24.0,23.4,24.8,,,,,,,
2015-02-10,25.9,,28.4,,,,,,,
2015-02-11,25.2,23.2,27.6,,,,,,,
2015-02-12,25.9,23.4,28.4,,,,,,,
2015-02-13,25.6,24.0,,,,,,,,
2015-02-14,27.0,24.7,29.2,,,,,,,
2015-02-15,26.5,24.6,28.4,,,,,,,
2015-02-16,27.9,,30.2,,,,,,,
2015-02-17,25.8,,28.2,55.9,,,,,,
2015-02-18,26.9,,29.8,,,,,,,
2015-02-19,25.3,23.4,,,,,,,,
2015-02-20,27.3,23.8,29.6,,,,,,,
2015-02-21,28.1,24.8,31.2,,,,,,,
2015-02-22,28.1,24.6,31.8,,,,,,,
2015-02-23,26.8,25.0,30.4,,,,,,,
2015-02-24,28.6,25.1,31.2,,,,,,,
2015-02-25,28.7,26.2,,,,,,,,
2015-02-26,28.8,26.0,,,,,,,,
2015-02-27,27.7,,,,,,,,,
2015-02-28,28.1,25.6,30.4,,,,,,,
2015-03-01,27.4,26.2,29.8,,,,,,,
2015-03-02,27.0,,30.0,,,,,,,
2015-03-03,27.4,25.2,31.2,,,,,,,
2015-03-04,27.6,24.0,,,,,,,,
2015-03-05,27.6,25.0,30.8,,,,,,,
2015-03-06,28.1,25.5,30.5,,,,,,,
2015-03-07,27.2,25.1,32.0,,,,,,,
2015-03-08,26.7,,,,,,,,,
2015-03-09,28.0,,,,,,,,,
2015-03-10,27.6,,31.0,,,,,,,
2015-03-11,26.6,24.8,,,,,,,,
2015-03-12,27.6,25.1,30.0,,,,,,,
2015-03-13,27.6,25.0,30.0,,,,,,,
2015-03-14,27.3,26.0,29.2,,,,,,,
2015-03-15,26.6,,,,,,,,,
2015-03-16,27.8,24.2,30.6,,,,,,,
2015-03-17,28.7,25.6,32.8,,,,,,,
2015-03-18,28.9,26.0,32.6,,,,,,,
2015-03-19,28.2,,,,,,,,,
2015-03-21,27.6,24.7,31.0,,,,,,,
2015-03-22,27.7,,31.8,,,,,,,
2015-03-23,28.7,24.8,31.6,,,,,,,
2015-03-24,28.4,25.2,32.2,,,,,,,
2015-03-25,26.7,,30.4,,,,,,,
2015-03-26,27.2,25.0,30.0,,,,,,,
2015-03-27,28.3,,31.6,,,,,,,
2015-03-28,29.1,25.9,32.2,,,,,,,
2015-03-29,29.1,26.4,31.6,,,,,,,
2015-03-30,28.9,27.0,,,,,,,,
2015-03-31,30.0,26.8,32.6,,,,,,,
2015-04-01,29.6,27.0,,,,,,,,
2015-04-02,27.3,,31.2,,,,,,,
2015-04-03,27.8,25.2,29.2,,,,,,,
2015-04-04,27.7,26.0,,,,,,,,
2015-04-05,29.1,26.0,32.6,,,,,,,
2015-04-06,29.3,26.2,33.2,,,,,,,
2015-04-07,28.9,27.0,31.0,,,,,,,
2015-04-08,29.1,25.0,,,,,,,,
2015-04-09,29.9,25.7,,,,,,,,
2015-04-10,28.7,,32.2,,,,,,,
2015-04-11,29.2,25.0,,,,,,,,
2015-04-12,28.8,25.0,33.2,,,,,,,
2015-04-13,27.4,24.2,30.4,,,,,,,
2015-04-14,27.9,25.8,32.0,,,,,,,
2015-04-15,28.8,26.0,31.0,,,,,,,
2015-04-16,29.6,26.0,33.6,,,,,,,
